POLQAScoreDL,AggActiveEcIo,AggActiveRSCP,ActiveSetMemberCount,AggActiveoverAggNonActive,BestActiveoverBestNonActive,DetectedSetCount,MonitoredSetCount,PathlossTop1,ULintfTop1,RACHLastTXpower,EcIoA1,EcIoA2,RSCPA1,RSCPA2,Speed,ASU_to_ASUC_ms,E1A_to_ASU_Delay_ms,E1A_to_ASUC_Delay_ms,E1B_to_ASU_Delay_ms,E1B_to_ASUC_Delay_ms,Interval_ASU_ASU_seconds,CompositeBLER%,NumofErrorBlocks,ReceivedGoodBlocks-Sum
4.369999886,-5.599999905,-63.40000153,1,7.5,13.69999981,0,5,93.59999847,-105,-22,-5.599999905,-13.60000038,-63.40000153,-73.09999847,30.79999924,0,382,382,240,253,0.730000019,23.89999962,85,273
4.239999771,-5.800000191,-65.19999695,1,7.199999809,10.30000019,1,4,126.1999969,-92,-22,-6.199999809,-13.60000038,-65.69999695,-73.09999847,22.89999962,42,699,761,240,253,1.850000024,12.5,74,594
4.389999866,-9.100000381,-66.59999847,2,8.699999809,14.10000038,0,4,126.1999969,-92,-22,-9.199999809,-23.39999962,-66.80000305,-80.80000305,34.5,149,2422,2430,208,357,1.980000019,14.39999962,18,107
4.199999809,-7.300000191,-77.19999695,2,8,10.19999981,0,4,126.1999969,-92,-22,-9.100000381,-12.60000038,-78.90000153,-82.5,30.89999962,8,2422,2430,2422,2430,2.420000076,15.19999981,34,207
3.99000001,-9.199999809,-78.5,3,-6.5,-4.699999809,0,13,112.4000015,-92,-22,-9.600000381,-22.29999924,-79,-90.59999847,33,8,2422,2430,2422,2430,2.420000076,3.599999905,5,135
3.720000029,-5.400000095,-66.69999695,1,-9.399999619,-7,2,1,112.4000015,-92,-22,-7,-7.800000191,-68.09999847,-73.90000153,18,140,226,306,290,491,4.179999828,15.60000038,74,440
4.369999886,-4.400000095,-69.30000305,2,-3.5,-2,1,2,112.4000015,-92,-22,-6.599999905,-8.399999619,-71.90000153,-75.59999847,11.5,14,581,653,411,430,1.74000001,7.400000095,112,1594
4.099999905,-4.199999809,-63,2,19.70000076,18.79999924,0,1,112.4000015,-105,-40,-5,-11.69999981,-63.90000153,-70.40000153,38.90000153,0,123,124,310,310,1.50999999,17.20000076,16,77
4.320000172,-6.199999809,-71.59999847,2,8.399999619,13.30000019,0,6,112.4000015,-105,-40,-7.300000191,-12.60000038,-72.40000153,-78.90000153,35.40000153,4,334,334,463,463,0.860000014,23.5,27,88
4.010000229,-6.599999905,-70.19999695,2,0.5,0.200000003,1,4,112.4000015,-105,-40,-8.199999809,-12.39999962,-71.59999847,-76.59999847,34.70000076,4,334,334,463,463,0.860000014,8.300000191,25,274
3.450000048,-3.5,-58,2,-5.199999809,-4.900000095,2,1,118.3000031,-105,-40,-4.900000095,-9.300000191,-59.59999847,-63,34.5,1,196,196,402,404,7.670000076,33.90000153,38,74
3.789999962,-7.900000095,-60.09999847,1,-9.600000381,-7,3,2,118.3000031,-105,-40,-8.199999809,-13.10000038,-60.40000153,-68.40000153,36.40000153,1,196,196,402,404,7.670000076,11.89999962,29,220
3.480000019,-5.099999905,-63.40000153,3,-9.899999619,-7.800000191,3,1,118.3000031,-105,-40,-7.800000191,-10.19999981,-65.69999695,-69.19999695,21.5,56,307,343,250,304,0.49000001,1.399999976,4,291
4.300000191,-2.700000048,-60.40000153,1,-7.5,-2.700000048,4,2,118.3000031,-105,-40,-2.700000048,-10.89999962,-60.40000153,-81.80000305,37,0,366,366,289,290,2.00999999,28.39999962,33,83
3.799999952,-4.900000095,-75.59999847,2,-10.5,-6.800000191,4,5,118.3000031,-105,-40,-6.800000191,-10.89999962,-77.5,-81.80000305,23.39999962,0,366,366,289,290,2.00999999,5.699999809,22,276
